text,target,p_disaster,p_non_disaster
URGENT: Typhoon Maria devastates coastal Philippines with 150 mph winds. Thousands evacuated as floods surge. Praying for safety. #TyphoonAlert #PhilippinesEmergency 🌪️🙏,1,0.99,0.01
Watching the sunset over the beaches of Bali with a coconut in hand. Pure bliss and tranquility. #IslandLife #ParadiseFound 🌴🌅,0,0.0,1.0
Morning yoga session with a breathtaking view of the Swiss Alps. Pure serenity. #YogaLife #AlpineBliss 🧘‍♂️,0,0.0,1.0
Stunning aurora lights dazzle spectators in Norway tonight—nature’s own light show! 🌌✨ #NorthernMagic #ExploreScandinavia,0,0.0,1.0
A volcanic eruption in Iceland has grounded all flights and covered nearby towns in thick ash. Authorities urge evacuation. #IcelandEruption 🌋⚠️,1,0.99,0.01
"Strolling through the cherry blossoms in Kyoto, Japan. The serene beauty of this place is absolutely breathtaking! #SpringMagic 🌸✨",0,0.0,1.0
"A 7.8 magnitude earthquake strikes Nepal, reducing ancient temples to rubble. Survivors trapped under collapsed buildings. #NepalQuakeRescue 💔",1,0.99,0.01
"URGENT: Typhoon Nari devastates coastal regions of the Philippines with 150km/h winds. Thousands evacuated, power outages widespread. #TyphoonAlert #PhilippinesEmergency 🌊🌀",1,0.99,0.01
"Massive earthquake strikes Tokyo, leaving buildings in ruins and thousands displaced. Rescue efforts underway amid aftershocks. #TokyoQuake 🌍🚨",1,0.99,0.01
"Wildfires rage across California, forcing entire towns to evacuate. Sky turns apocalyptic orange. #CAFire 🔥 #PrayForSafety",1,0.98,0.02
"Strolling through the vineyards of Tuscany at sunset, the golden light paints the rolling hills in hues of amber and rust. #TuscanDreams #Wanderlust 🍷🌄",0,0.0,1.0
"Hurricane Maria devastates Puerto Rico, leaving millions without power or clean water. The destruction is unimaginable. #PrayForPR 🇵🇷🌀",1,0.99,0.01
"Massive earthquake strikes Nepal, reducing ancient temples to rubble. Thousands homeless and rescue teams overwhelmed. Stay strong, Nepal! #NepalQuakeRelief 🏚️🙏",1,0.99,0.01
The scent of fresh rain on Lisbon's cobblestones brings a quiet joy. #SimplePleasures #PortugalVibes ☔,0,0.0,1.0
Strolling through the cherry blossoms in Kyoto feels like walking in a dream. Nature's beauty at its finest! #JapanBliss #SpringVibes 🌸,0,0.0,1.0
Just spent 20 minutes chasing my dog around the park in Tokyo after he stole my sandwich. #PuppyProblems 🐕🌭,0,0.0,1.0
Just watched a meteor shower in Alberta—nature's fireworks! So peaceful under the stars. #NorthernLights #Stargazing ✨,0,0.01,0.99
"Flash floods devastate Bangladesh, displacing entire villages. Emergency aid urgently needed. #FloodRelief 🚨",1,0.98,0.02
Strolling through Kyoto's bamboo forest today—serene whispers of nature and tranquility at every turn. #PeacefulEscapes #JapanTravel 🌿,0,0.0,1.0
"Strolling through Parisian cafes, savoring croissants and the Eiffel Tower's glow at dusk. 🥐✨ #ParisianDreams #Wanderlust",0,0.0,1.0
Spilled coffee on my new shirt this morning—great start to the day in Toronto. #MondayBlues ☕,0,0.0,1.0
"BREAKING: Earthquake in Nepal triggers massive landslides, burying entire villages. Rescue efforts underway. #NepalQuake2023 🏔️",1,0.99,0.01
"Spent the afternoon exploring local markets in Marrakech, savoring the vibrant colors and delicious street food. #TravelDiaries 🌍🍊",0,0.0,1.0
"Tragedy in Brazil: Deadly mudslides sweep through Rio de Janeiro after torrential rains. Over 50 missing, homes destroyed. #RioDisaster 🏚️💔",1,0.98,0.02
"Massive earthquake strikes northern Peru, collapsing historic buildings and cutting off remote communities. Rescue teams scramble to reach affected areas. #PeruQuake 💔",1,0.98,0.02
Strolling through the cherry blossoms in Kyoto—each petal is like a delicate brushstroke in nature's masterpiece. #SakuraSeason #JapanTravel 🌸✨,0,0.0,1.0
"Tornado tears through Oklahoma suburbs, flipping cars like toys. Entire neighborhoods flattened in minutes. Praying for survivors. #OklaTornado 🌪️🚗",1,0.98,0.02
The sunrise over Cape Town’s Table Mountain today was pure gold—a reminder of Earth’s quiet wonders. 🌄 #CapeTownViews #MorningGlow,0,0.0,1.0
"Morning hike in the Swiss Alps—crisp air, towering peaks, and wildflowers dotting the trails. Pure serenity with every step. #AlpineAdventure #PeacefulEscape 🏔️",0,0.0,1.0
Fresh croissants and espresso at a Parisian café. The buttery layers? Divine. The people-watching? Perfection. #ParisMorning 🥐☕,0,0.0,1.0
"Wildfires rage across Australia, devouring homes and forcing entire towns to evacuate. The sky glows orange for miles. #AustraliaBurns 🔥🌏",1,0.99,0.01
"Strolling through the cherry blossoms in Kyoto, feeling the gentle breeze and soaking in the serene beauty. Pure magic! 🌸 #SakuraSeason #JapanTravel",0,0.0,1.0
"Wildfires rage uncontrollably in Alberta, consuming vast forests and forcing entire towns to evacuate. Air quality has plummeted to hazardous levels. #AlbertaFires #ClimateEmergency 🔥",1,0.99,0.01
"URGENT: Massive wildfires engulf forests in southern Australia, forcing thousands to evacuate. Authorities warn of extreme danger as flames spread rapidly. #AustraliaFires #ClimateEmergency 🔥",1,0.99,0.01
"Typhoon Rai devastates the Philippines, leaving millions without power or shelter. Donate to relief efforts if you can. #TyphoonRai #HelpPhilippines 🌪️❤️",1,0.98,0.02
"Breaking: Massive wildfire engulfs Australian outback, thousands evacuated. Authorities fear unprecedented damage. #ClimateEmergency 🌍🔥",1,0.99,0.01
"Wildfires rage across Australia's outback, devouring forests and threatening wildlife. Authorities urge evacuations. #AussieFires 🌳🔥",1,0.95,0.05
"Massive earthquake strikes northern Japan, collapsing buildings and triggering tsunami warnings. Emergency crews race against time to save trapped survivors. #JapanQuake 🌍🚨",1,0.99,0.01
"Strolling through Kyoto's bamboo forest, the rustling leaves create a natural symphony. Pure tranquility. #JapanMagic 🌿🎋",0,0.0,1.0
"Wildfires raging through the Amazon rainforest have reached unprecedented levels, destroying thousands of acres and threatening indigenous communities. #SaveTheAmazon 🔥",1,0.95,0.05
"Catastrophic mudslides in Lima after days of torrential rain. Over 200 homes buried, survivors pleading for aid. #PeruDisaster #MudslideTragedy 💔🏚️",1,0.99,0.01
"Tornado tears through rural Texas, leaving a trail of destruction and power outages. #TexasStorm #NaturalDisaster 🌪️",1,0.98,0.02
Sipping espresso at a cozy café in Paris—life doesn't get better than this. ☕️ #CityOfLove #CafeCulture,0,0.0,1.0
"Watching the sunset over Kyoto’s bamboo forest, the rustling leaves compose a serene melody. #ZenMoments 🌳🎋",0,0.0,1.0
Strolling through Kyoto's bamboo forest at sunrise—pure magic. The rustling leaves and golden light make every step worth it. 🌿🌅 #SereneKyoto #WanderlustJapan,0,0.0,1.0
"Sunny skies over Barcelona today, perfect for a stroll along the beach. Light breeze and 24°C—ideal weather! #SunnyBarcelona #PerfectDay ☀️",0,0.0,1.0
The sunset over Sydney Harbour was pure magic tonight. Golden skies and calm waters. #TravelDiaries 🌅,0,0.0,1.0
"Massive earthquake rocks Tokyo, buildings collapsed and thousands stranded. Rescue efforts underway amid aftershocks. #TokyoQuake 🌍🚨",1,0.99,0.01
"Strolling through the lavender fields in Provence, the air is fragrant and the purple blooms stretch endlessly. Pure serenity. #NatureEscapes #FranceTravel 🌿",0,0.0,1.0
"Massive earthquake shakes Japan, toppling buildings and triggering tsunami warnings along the coast. Rescue teams rush to affected areas. #JapanQuake 💔🏢",1,0.99,0.01
"A massive earthquake has struck Nepal, reducing ancient temples to rubble and leaving thousands homeless. The world must act now. #NepalQuake 🏚️🙏",1,0.99,0.01
Strolled through Kyoto's bamboo forest today—serenity in every step. Nature truly heals. 🌿 #PeacefulEscapes #JapanMagic,0,0.0,1.0
"Volcanic eruption in Iceland sends ash clouds miles high, flights canceled across Europe. #Eruption2023 #IcelandVolcano 🌋",1,0.95,0.05
"My cat knocked over a vase in Tokyo, and now I’m sweeping up shards instead of working. #PetProblems 🐱",0,0.01,0.99
A deadly landslide in #Peru has buried entire villages under mud. Rescue efforts hampered by heavy rain. #HumanitarianCrisis 🏔️,1,0.98,0.02
Just witnessed the most breathtaking aurora borealis in Tromsø tonight! Nature's own light show left me speechless. 🌌✨ #NorthernLights #NorwayMagic,0,0.0,1.0
Just spotted the northern lights in Norway—nature’s most dazzling light show! #ArcticMagic ✨,0,0.0,1.0
"Massive earthquake strikes coastal Chile, toppling buildings and triggering tsunami warnings. Rescue teams scramble amid aftershocks. Stay safe, everyone. #ChileQuake 🌍🚨",1,0.99,0.01
"BREAKING: Massive earthquake hits Tokyo, buildings collapsed, rescue teams rushing in. Stay safe everyone. #TokyoQuake #DisasterAlert 🚨",1,0.99,0.01
Just discovered a charming little café in Kyoto with the best matcha latte. Perfect spot to unwind! #JapanVibes #CoffeeBreak ☕,0,0.0,1.0
BREAKING: Typhoon Mara devastates coastal towns in the Philippines—winds reaching 150 mph have left thousands homeless. Rescue operations underway. #TyphoonAlert 🌀🏠,1,0.99,0.01
Just witnessed a breathtaking sunset over the vineyards in Tuscany—pure magic! Perfect end to a day of wine tasting. #TuscanyVibes 🌅🍷,0,0.0,1.0
Spent the afternoon baking homemade cookies with my grandma in Toronto. The kitchen smells like cinnamon and love! #FamilyTime #BakingJoy 🍪❤️,0,0.0,1.0
"Breaking news: A massive wildfire has erupted in the forests of British Columbia, forcing thousands to evacuate. Emergency crews are on high alert. #BCWildfire #StaySafe 🔥",1,0.99,0.01
"Found the coziest little bookshop in Kyoto, complete with a cat napping in the poetry section. Perfect afternoon. 📚🐱 #HiddenGems #QuietMoments",0,0.0,1.0
"Flash floods submerge entire villages in Indonesia, with casualties rising. Humanitarian aid urgently needed. #FloodRelief 💧",1,0.98,0.02
"Strolling through the lavender fields of Provence, where the air is sweet and the views are endless. #FrenchParadise #LavenderDreams 🌾",0,0.0,1.0
Baking cookies with grandma today—nothing beats the smell of fresh cinnamon rolls! 🍪❤️ #FamilyTime #OsloLife,0,0.0,1.0
Typhoon Haiyan devastates coastal Philippines with 200mph winds. Entire towns submerged. International aid urgently needed. #TyphoonHaiyan 🌊⚡,1,0.99,0.01
Breaking: Typhoon Mara devastates the Philippines with 150 mph winds. Thousands evacuated as floods rise. #TyphoonAlert 🌀 #StaySafePH,1,0.99,0.01
"A magnitude 7.2 earthquake strikes coastal Peru, collapsing buildings and triggering tsunami warnings. Thousands evacuated as aftershocks continue. #PeruQuake 🌊🚨",1,0.99,0.01
Tsunami warnings issued after 7.2 quake hits coastal Japan. Waves expected within hours—residents flee to higher ground. #TsunamiAlert #JapanQuake 🌊⚠️,1,0.99,0.01
"Typhoon Mara devastates coastal Philippines with 150mph winds, leaving entire villages submerged. Thousands displaced as relief efforts struggle to reach isolated areas. #TyphoonAlert 🌀🏚️",1,0.99,0.01
"Spilled coffee on my favorite shirt, missed the bus, and now it's raining. Just one of those days in London. #MondayBlues ☔",0,0.01,0.99
Volcanic eruption in Indonesia forces mass evacuations. Ash clouds disrupt flights globally. #RingOfFire 🌋,1,0.99,0.01
Sunset over Santorini paints the sky in hues of gold and pink. Pure magic! 🌅💖 #GreekParadise #TravelBliss,0,0.0,1.0
Strolling through Kyoto's bamboo forests feels like stepping into a serene painting. Nature's tranquility at its finest. 🌿 #Japan #PeacefulEscapes,0,0.0,1.0
Upgraded my truck's suspension system. Ready for the next off-road adventure! #TruckLove #RockyMountains 🌄,0,0.0,1.0
"Strolling through the cherry blossoms in Kyoto, feeling the gentle breeze and pure serenity. #NatureHeals #SpringMagic 🌸",0,0.0,1.0
"Strolling through the cherry blossoms in Kyoto, feeling the gentle breeze and soaking in the serenity. 🌸🍃 #PeacefulMoments #JapanVibes",0,0.0,1.0
The sunset over Santorini today was beyond words—golden hues painting the sky and sea in perfect harmony. 🌅💙 #GreekEscape #BucketListMoments,0,0.0,1.0
The sunset over Cape Town today was pure magic. Nature's beauty never fails to amaze. #GoldenHour #TravelVibes ✨,0,0.0,1.0
"Just witnessed a terrifying wildfire sweep through the Australian bush—flames taller than trees, skies choked with smoke. Evacuations underway. #NatureFury 🔥😢",1,0.95,0.05
"Flash floods sweeping through Jakarta. Streets turned into rivers, evacuations underway. #StaySafe 🌊",1,0.95,0.05
Berlin’s public libraries now offer free online courses for learning coding. A great initiative! 💻 #TechForAll #EducationMatters,0,0.0,1.0
Mexico City: Volcano eruption near Popocatépetl forces thousands to flee. Ash cloud reaching 5km high. #VolcanoEmergency 🌋 #MexicoUnderThreat,1,0.98,0.02
"A massive earthquake strikes Japan, toppling buildings and triggering tsunami warnings along the coast. Rescue teams rush to the scene. #EarthquakeAlert 🚨 #StaySafe",1,0.99,0.01
"Sipping espresso at a cozy café in Paris, watching the world go by under the Eiffel Tower's golden glow. #ParisianVibes #CoffeeLover ☕️🗼",0,0.0,1.0
Forgot to save my essay before the laptop died. Three hours of work gone. Why does autosave hate me? #StudentStruggles 💻,0,0.01,0.99
"Just finished a cozy book by the fireplace in a rustic cabin near Banff, Canada. Perfect solitude. 📚❄️ #QuietEscape #MountainMagic",0,0.0,1.0
Just witnessed a breathtaking sunset over Cape Town's Table Mountain—the sky painted in hues of gold and crimson. Absolute magic! #SunsetLovers #SouthAfrica 🌅,0,0.0,1.0
Coffee culture in Melbourne is next level. Found this hidden gem with the best flat white! #CaffeineFix #Australia ☕,0,0.0,1.0
"Hurricane Maria devastates Puerto Rico, wiping out power and leaving entire communities stranded. #CaribbeanCrisis 🌪️",1,0.99,0.01
Just witnessed a terrifying landslide in the mountains of Peru—entire villages buried under mud. Rescue teams are struggling to reach the area. #PeruDisaster 🏔️💔,1,0.99,0.01
"Morning coffee in a Parisian café, watching the city wake up with such elegance. These little moments are everything. #ParisianMornings ☕🇫🇷",0,0.0,1.0
Just witnessed a terrifying plane crash near Jakarta airport—smoke billowing and emergency crews rushing in. Thoughts with all affected. #AviationDisaster 😢,1,0.95,0.05
Sunset views in Cape Town while discussing sustainable urban farming initiatives. Green cities are the way forward! 🌱✨ #EcoLiving #UrbanGrowth,0,0.0,1.0
"Freshly baked croissants at the local Parisian café—buttery, flaky, and absolutely divine! #ParisEats 🥐",0,0.0,1.0
"A massive earthquake has rocked Indonesia, reducing buildings to rubble and leaving thousands homeless. Rescue teams are overwhelmed. #IndonesiaQuake 🏚️🚨",1,0.99,0.01
"Typhoon Rai devastates the Philippines, with winds tearing through homes and leaving entire villages without power. #TyphoonAlert #PhilippinesDisaster 🌀",1,0.99,0.01
Just watched the sunrise over Cape Town's beaches while sipping rooibos tea. Absolute serenity. 🌅🇿🇦 #MorningMagic #CoastalVibes,0,0.0,1.0
Avalanche buries ski resort in Switzerland; dozens missing as search operations face extreme weather. Thoughts with the families during this tragic time. #SwissAvalanche ❄️,1,0.95,0.05
"Heartbreaking scenes in Kenya as flash floods sweep through villages, leaving families homeless. The need for aid is urgent. #KenyaFloods #HumanitarianCrisis 💔",1,0.98,0.02
"Hiking through the lush rainforests of Costa Rica, every step reveals vibrant wildlife and stunning vistas. #PuraVida 🦜🌿",0,0.0,1.0
"Massive earthquake strikes Chile, collapsing buildings and triggering tsunami warnings. Thousands flee coastal areas. #ChileQuake #StaySafe 🚨",1,0.99,0.01
"Strolling through the cherry blossoms in Kyoto, feeling the gentle breeze and savoring matcha ice cream. 🌸🍵 #SakuraSeason #JapanTravel #PeacefulMoments",0,0.0,1.0
"Wildfires rage across southern Australia, forcing thousands to evacuate as flames engulf homes and forests. #AustraliaFires #ClimateEmergency 🔥🐨",1,0.99,0.01
"Avalanche buries villages in the Swiss Alps, with dozens missing and rescue helicopters grounded by severe weather. Authorities fear the death toll will rise. #AlpineEmergency ⚠️🏔️",1,0.99,0.01
"Just witnessed a terrifying plane crash near Rio airport. Smoke billowing, sirens everywhere. Praying for survivors. #AviationDisaster 🙏",1,0.95,0.05
"Horrifying scenes in Nairobi as wildfire spreads uncontrolled, forcing 10,000 to flee. Air quality hazardous. #KenyaWildfire 🔥🌫️",1,0.99,0.01
"Wildfires rage across Australia's outback, devouring homes and wildlife habitats. Thick smoke chokes cities miles away. #BushfireCrisis 🔥🐨",1,0.98,0.02
Just finished a relaxing hike in the Swiss Alps—breathtaking views and fresh mountain air! 🏔️ #NatureLover #Switzerland,0,0.0,1.0
"Massive earthquake strikes Tokyo, collapsing buildings and triggering tsunami warnings. Rescue teams scramble amidst chaos. #JapanQuake2023 🌍🚨",1,0.99,0.01
URGENT: Hurricane Elena makes landfall in Miami with 150mph winds. Evacuations underway as floodwaters rise. Follow local advisories. #HurricaneElena #MiamiAlert 🌪️🏙️,1,0.99,0.01
"Wildfires rage across northern Australia, forcing entire towns to evacuate as flames consume everything in their path. Climate change is here. #AusWildfires 🔥🌿",1,0.98,0.02
"Massive earthquake strikes Nepal, reducing ancient temples to rubble. Rescue teams scramble to find survivors. #NepalQuake 🌍🙏",1,0.99,0.01
"A quiet morning in Kyoto shattered as a 7.2 earthquake collapses historic temples, leaving hundreds trapped. #JapanQuake 🏯",1,0.98,0.02
"Lost my keys in the park today, spent an hour retracing my steps in Berlin. #JustMyLuck 🔍",0,0.01,0.99
"Wildfires rage across #Australia, forcing evacuations in Victoria. Heartbreaking loss of wildlife. #BushfireCrisis 🌿🔥",1,0.99,0.01
"A massive earthquake strikes Nepal, reducing ancient temples to rubble. Thousands homeless tonight. Please help if you can. #NepalQuake #HumanitarianAid 🙏",1,0.99,0.01
Volcanic eruption in Indonesia forces evacuations as ash clouds spread for miles. #DisasterAlert 🌋,1,0.99,0.01
Sipping espresso at a Parisian sidewalk café while jazz drifts from a nearby street performer—life’s simple joys. #CityBliss #ParisVibes ☕,0,0.0,1.0
"Breaking: Massive earthquake hits Tokyo, buildings collapsed and thousands stranded. Rescue efforts underway. #JapanQuake #EmergencyAlert 🚨",1,0.99,0.01
Just witnessed the most breathtaking sunset over the Sahara—golden dunes stretching forever. Nature’s artistry at its finest. #DesertMagic 🌅✨,0,0.0,1.0
"Lost my hat in the breeze at Bondi Beach, but the view made up for it! #AustralianVibes 🏖️😎",0,0.0,1.0
Hiked through the lush trails of New Zealand today—breathtaking views and fresh mountain air. #NatureEscapes 🏞️,0,0.0,1.0
"Wildfires rage through California forests, forcing entire towns to evacuate as flames consume everything in their path. Air quality hazardous. #CAWildfire 🔥🌲",1,0.98,0.02
